pklt_nm,pklt_knd_nm,lat,lot,addr,자치구,평일운영시간,주말운영시간,운영시간,ev_충전소_500m,ev_등록대수
달마을주차장,노외 주차장,37.53608,126.87585,양천구 목동 532-18,양천구,24.0,24.0,24.0,96,3941
답십리2동 노외주차장(홍약국옆),노외 주차장,37.57002,127.05467,동대문구 답십리동 36-12,동대문구,24.0,24.0,24.0,193,3021
당고개위 공영주차장,노상 주차장,37.67044313,127.08058642,노원구 상계동 111-568,노원구,13.0,13.0,13.0,49,3918
당곡주차장,노외 주차장,37.52782,126.83692,양천구 신월동 482-11,양천구,24.0,24.0,24.0,81,3941
당산1동공영,노외 주차장,37.52616,126.89724,영등포구 당산동3가 6-1,영등포구,24.0,24.0,24.0,258,4323
당산2동,노외 주차장,37.5346241,126.9065487,영등포구 당산동 121-105,영등포구,24.0,24.0,24.0,105,4323
당산고가밑 공영주차장,노상 주차장,37.53239477,126.90068662,영등포구 당산동5가 9-15,영등포구,10.0,6.0,8.857142857142858,337,4323
당산근린공원 공영,노외 주차장,37.52616,126.89724,영등포구 당산동3가 385-0,영등포구,24.0,24.0,24.0,258,4323
당산노외공영주차장,노외 주차장,37.52625065,126.89945376,영등포구 당산동3가 2-1,영등포구,13.0,13.0,13.0,295,4323
당인 유료 주차장,노상 주차장,37.5477846,126.9095636,마포구 합정동 362-1,마포구,10.0,24.0,14.0,79,4083
당인노상공영주차장,노상 주차장,37.5477846,126.9095636,마포구 합정동 362-5,마포구,11.0,11.0,11.0,79,4083
대림1동공영,노외 주차장,37.4957573,126.899936,영등포구 대림동 834-1,영등포구,24.0,24.0,24.0,50,4323
대림2동공영,노외 주차장,37.4957573,126.899936,영등포구 대림동 1072-25,영등포구,24.0,24.0,24.0,50,4323
대림3동 공영주차장,노외 주차장,37.4957573,126.899936,영등포구 대림동 745-1,영등포구,24.0,24.0,24.0,50,4323
대림노외공영주차장,노외 주차장,37.4928472,126.89433148,구로구 구로동 120-5,구로구,10.0,10.0,10.0,94,3621
대림역,노상 주차장,37.4957573,126.899936,영등포구 대림동 808-8,영등포구,10.0,6.0,8.857142857142858,50,4323
대림역 공영주차장,노상 주차장,37.493081185,126.89539544,영등포구 대림동 808-24,영등포구,10.0,6.0,8.857142857142858,84,4323
대림역2 공영주차장,노상 주차장,37.49583349,126.89369871,구로구 구로동 73-9,구로구,10.0,6.0,8.857142857142858,97,3621
대림운동장,노외 주차장,37.4957573,126.899936,영등포구 대림동 780-0,영등포구,24.0,24.0,24.0,50,4323
대방생태공영주차장,노외 주차장,37.5067997,126.9291349,동작구 대방동 395-1,동작구,24.0,24.0,24.0,75,2867
대왕초 공영주차장,노외 주차장,37.4708898,127.1033677,강남구 세곡동 517-0,강남구,24.0,24.0,24.0,154,15468
대지시장길 공영주차장,노외 주차장,37.628995,127.0257543,강북구 미아동 703-8,강북구,24.0,24.0,24.0,38,1856
대청역 공영주차장,노외 주차장,37.48421,127.07006,강남구 개포동 13-2,강남구,24.0,24.0,24.0,242,15468
대치2문화센터 공영주차장,노외 주차장,37.49882,127.06566,강남구 대치동 980-9,강남구,24.0,12.0,20.571428571428573,105,15468
대치동507-3,노상 주차장,37.49882,127.06566,강남구 대치동 507-3,강남구,10.0,24.0,14.0,105,15468
대치유수지,노상 주차장,37.49882,127.06566,강남구 대치동 78-29,강남구,10.0,24.0,14.0,105,15468
대현산배수지 주차장,노외 주차장,37.55286,127.02393,성동구 금호동1가 103-0,성동구,24.0,24.0,24.0,442,4331
대흥공영주차장,노외 주차장,37.5510043,126.9419496,마포구 대흥동 73-27,마포구,24.0,24.0,24.0,158,4083
덕성엔앰피,노상 주차장,37.4753253,126.8863954,금천구 가산동 345-15,금천구,11.0,24.0,14.714285714285714,416,2257
