주차장명,주차장종류,주차장종류명,위도,경도,원본명칭_수,전체_행_수,평일운영시간,주말운영시간,ev_충전소_500m,총주차면_합산,주소,자치구,ev_등록대수,총주차면_norm,평일운영_norm,주말운영_norm,ev_충전소_역,ev_등록_norm,ev_충전소_역_norm,자체소비_점수,EV충전_점수,축3_자가소비적합성
삼각지고가밑 공영주차장(시),NS,노상 주차장,37.53704625,126.96954765,1,16,10.0,6.0,350,16.0,용산구 문배동 12-1,용산구,2674,0.00979706088173548,0.06666666666666665,0.05263157894736842,60,0.05732390215148836,0.14705882352941177,0.04303176883192352,0.10219136284045006,0.07261156583618679
서울글로벌센터 공영주차장(시),NW,노외 주차장,37.56983402,126.98150586,1,1,9.0,24.0,294,44.0,종로구 서린동 63-0,종로구,1896,0.02939118264520644,0.0,1.0,116,0.0,0.28431372549019607,0.3431303942150688,0.14215686274509803,0.24264362848008342
석계역 공영주차장(시),NW,노외 주차장,37.615292,127.062997,1,1,24.0,24.0,120,70.0,노원구 월계동 50-9,노원구,3918,0.04758572428271518,1.0,1.0,290,0.14898320070733864,0.7107843137254902,0.6825285747609051,0.4298837572164144,0.5562061659886598
성내역(잠실나루역) 공영주차장(시),NS,노상 주차장,37.517732385,127.105057265,1,28,9.0,6.0,336,32.0,송파구 신천동 11-1,송파구,7851,0.02099370188943317,0.0,0.05263157894736842,74,0.43877099911582673,0.18137254901960784,0.02454176027893386,0.3100717740677173,0.16730676717332557
세종로 공영주차장(시),NW,노외 주차장,37.57340269,126.97588429,1,1,24.0,24.0,280,1260.0,종로구 세종로 80-1,종로구,1896,0.8803358992302309,1.0,1.0,130,0.0,0.31862745098039214,0.9601119664100769,0.15931372549019607,0.5597128459501365
소파로케이블카앞 관광버스전용 주차장(시),NS,노상 주차장,37.55516503,126.983716475,1,2,24.0,24.0,77,3.0,중구 회현동1가 1-15,중구,2000,0.0006997900629811056,1.0,1.0,333,0.007662835249042127,0.8161764705882353,0.6668999300209938,0.4119196529186387,0.5394097914698163
수서역북 공영주차장(시),NW,노외 주차장,37.48801285,127.09994995,1,1,24.0,24.0,87,575.0,강남구 수서동 735-0,강남구,15468,0.4009797060881735,1.0,1.0,323,0.9999999999999999,0.7916666666666666,0.8003265686960578,0.8958333333333333,0.8480799510146955
신대방역 공영주차장(시),NW,노외 주차장,37.48830327,126.91452278,1,1,24.0,24.0,49,60.0,관악구 신림동 498-0,관악구,3005,0.04058782365290413,1.0,1.0,361,0.08171234895372825,0.8848039215686274,0.6801959412176347,0.48325813526117783,0.5817270382394063
신방화역 공영주차장(시),NW,노외 주차장,37.56706812,126.81757628,1,1,24.0,24.0,213,199.0,강서구 마곡동 739-0,강서구,8009,0.1378586424072778,1.0,1.0,197,0.45041261420571765,0.48284313725490197,0.7126195474690927,0.46662787573030984,0.5896237115997013
신설동 공영주차장(시),NW,노외 주차장,37.57252061,127.02425684,1,1,10.0,10.0,152,71.0,동대문구 신설동 114-29,동대문구,3021,0.048285514345696286,0.06666666666666665,0.2631578947368421,258,0.0828912466843501,0.6323529411764706,0.12603669191640168,0.35762209393041033,0.241829392923406
신월4동 공영주차장(시),NW,노외 주차장,37.525643,126.837692,1,1,24.0,24.0,96,46.0,양천구 신월동 411-1,양천구,3941,0.03079076277116865,1.0,1.0,314,0.15067786619510756,0.7696078431372549,0.6769302542570562,0.46014285466618127,0.5685365544616188
신천유수지 공영주차장(시),NW,노외 주차장,37.52231457,127.10290327,1,1,24.0,24.0,69,192.0,송파구 신천동 14-0,송파구,7851,0.13296011196641006,1.0,1.0,341,0.43877099911582673,0.8357843137254902,0.7109867039888034,0.6372776564206585,0.6741321802047309
압구정고가1 공영주차장(시),NS,노상 주차장,37.52607658,127.028388,1,19,13.0,12.0,58,19.0,강남구 신사동 668-0,강남구,15468,0.011896431070678795,0.2666666666666667,0.3684210526315789,352,0.9999999999999999,0.8627450980392157,0.21566138345630814,0.9313725490196079,0.573516966237958
여의도공원 공영주차장(시),NS,노상 주차장,37.5226,126.91685,1,48,10.0,6.0,70,49.0,영등포구 여의도동 2-11,영등포구,4323,0.032890132960111965,0.06666666666666665,0.05263157894736842,340,0.17882404951370465,0.8333333333333334,0.05072945952471567,0.506078691423519,0.27840407547411733
영남 공영주차장(시),NW,노외 주차장,37.51947074,126.90260898,1,1,24.0,24.0,174,570.0,영등포구 영등포동4가 123-0,영등포구,4323,0.397480755773268,1.0,1.0,236,0.17882404951370465,0.5784313725490196,0.7991602519244226,0.3786277110313621,0.5888939814778924
영동6교밑 공영주차장(시),NS,노상 주차장,37.494468795,127.071070055,1,38,10.0,8.0,47,38.0,강남구 대치동 512-1,강남구,15468,0.025192442267319804,0.06666666666666665,0.15789473684210525,363,0.9999999999999999,0.8897058823529411,0.0832512819253639,0.9448529411764706,0.5140521115509172
영등포구청역 공영주차장(시),NW,노외 주차장,37.52432737,126.89548892,1,1,24.0,24.0,238,137.0,영등포구 당산동3가 370-3,영등포구,4323,0.09447165850244926,1.0,1.0,172,0.17882404951370465,0.4215686274509804,0.6981572195008164,0.3001963384823425,0.4991767789915795
옥수역 공영주차장(시),NS,노상 주차장,37.54226979,127.01695354,1,31,10.0,6.0,304,32.0,성동구 옥수동 401-1,성동구,4331,0.02099370188943317,0.06666666666666665,0.05263157894736842,106,0.17941349837901563,0.25980392156862747,0.04676398250115608,0.21960870997382154,0.13318634623748882
온수역(남) 공영주차장(시),NS,노상 주차장,37.49185054,126.8241372,1,41,10.0,6.0,35,41.0,구로구 온수동 51-26,구로구,3621,0.02729181245626312,0.06666666666666665,0.05263157894736842,375,0.12709991158267017,0.9191176470588235,0.04886335269009939,0.5231087793207468,0.2859860660054231
용산주차빌딩 공영주차장(시),NW,노외 주차장,37.53436379,126.96541818,1,1,24.0,24.0,283,561.0,용산구 한강로2가 12-9,용산구,2674,0.3911826452064381,1.0,1.0,127,0.05732390215148836,0.3112745098039216,0.7970608817354794,0.18429920597770497,0.4906800438565922
웃우물 공영주차장(시),NW,노외 주차장,37.52379759,126.85141746,1,1,24.0,24.0,67,79.0,양천구 신정동 943-25,양천구,3941,0.053883834849545134,1.0,1.0,343,0.15067786619510756,0.8406862745098039,0.6846279449498484,0.49568207035245576,0.590155007651152
원효대교 남단 공영주차장(시),NS,노상 주차장,37.52234322,126.93684128,1,13,24.0,24.0,77,13.0,영등포구 여의도동 5-0,영등포구,4323,0.007697690692792161,1.0,1.0,333,0.17882404951370465,0.8161764705882353,0.6692325635642641,0.49750026005097,0.5833664118076171
을지로 공영주차장(시),NS,노상 주차장,37.56664646,126.99696895,1,81,10.0,6.0,48,82.0,중구 을지로3가 282-8,중구,2000,0.05598320503848845,0.06666666666666665,0.05263157894736842,362,0.007662835249042127,0.8872549019607843,0.058427150217507835,0.4474588686049132,0.2529430094112105
일원역 공영주차장(시),NW,노외 주차장,37.48468629,127.08408987,1,1,10.0,6.0,153,67.0,강남구 일원동 716-2,강남구,15468,0.045486354093771865,0.06666666666666665,0.05263157894736842,257,0.9999999999999999,0.6299019607843137,0.05492819990260231,0.8149509803921569,0.4349395901473796
일원터널 공영주차장(시),NW,노외 주차장,37.48285728,127.07937197,1,1,24.0,24.0,59,11.0,강남구 일원동 722-1,강남구,15468,0.006298110566829951,1.0,1.0,351,0.9999999999999999,0.8602941176470588,0.66876603685561,0.9301470588235293,0.7994565478395697
잠실역 공영주차장(시),NW,노외 주차장,37.51427683,127.10341414,1,1,24.0,24.0,410,357.0,송파구 신천동 27-0,송파구,7851,0.2484254723582925,1.0,1.0,0,0.43877099911582673,0.0,0.7494751574527642,0.21938549955791337,0.48443032850533874
장안1동 공영주차장(시),NW,노외 주차장,37.56941,127.066994,1,1,24.0,24.0,126,71.0,동대문구 장안동 392-3,동대문구,3021,0.048285514345696286,1.0,1.0,284,0.0828912466843501,0.696078431372549,0.6827618381152322,0.38948483902844955,0.5361233385718409
장안2동 공영주차장(시),NW,노외 주차장,37.5782752,127.07061896,1,1,24.0,24.0,168,80.0,동대문구 장안동 286-9,동대문구,3021,0.05458362491252624,1.0,1.0,242,0.0828912466843501,0.5931372549019608,0.6848612083041754,0.33801425079315545,0.5114377295486654
