pklt_nm,pklt_knd_nm,tpkct,add_crg_std,add_crg_std_filled,is_add_crg_imputed,lat,lot,addr
둘리뮤지엄공영주차장,노외 주차장,25.0,,400.0,True,37.65347,127.02715,도봉구 쌍문동 79-0
등나무근린공원,노외 주차장,129.0,500.0,500.0,False,37.64802,127.07678,노원구 중계동 508-1
등촌 2-1 공영주차장,노외 주차장,90.0,100.0,100.0,False,37.5498936,126.86025,강서구 등촌동 531-5
등촌3동 꿈나무길,노상 주차장,1.0,500.0,500.0,False,37.5498936,126.86025,강서구 등촌동 701-0
뚝섬유수지(평면) 공영주차장,노외 주차장,352.0,300.0,300.0,False,37.5435,127.03742,성동구 성수동1가 685-63
렉싱턴호텔뒤 노상주차장,노상 주차장,1.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 13-0
롯데캐슬앞 노상주차장,노상 주차장,1.0,1000.0,1000.0,False,37.5267088,126.9238,영등포구 여의도동 36-0
마곡8 임시 주차장,노외 주차장,200.0,200.0,200.0,False,37.566575,126.826243,강서구 마곡동 728-42
마들스타디움(근린공원),노외 주차장,249.0,300.0,300.0,False,37.66727,127.07242,노원구 상계동 770-2
마른내길 공영주차장,노상 주차장,33.0,1360.0,1360.0,False,37.56433062,126.99457488,중구 인현동1가 87-10
마른내로 공영주차장,노상 주차장,14.0,1240.0,1240.0,False,37.56452799,126.99985972,중구 오장동 69-3
마을공원,노외 주차장,98.0,300.0,300.0,False,37.6162,127.05086,성북구 장위동 77-79
마을마당주차장,노외 주차장,114.0,100.0,100.0,False,37.52782,126.83692,양천구 신월동 129-6
마장축산물시장 서문(건물) 공영주차장,노외 주차장,129.0,500.0,500.0,False,37.56743,127.04045,성동구 마장동 522-1
