pklt_nm,pklt_knd_nm,tpkct,add_crg_std,add_crg_std_filled,is_add_crg_imputed,lat,lot,addr
남부여성발전센터 공영주차장,노외 주차장,128.0,240.0,240.0,False,37.462917,126.905718,금천구 시흥동 139-2
남부초 공영주차장,노외 주차장,134.0,,400.0,True,37.4868971,126.928177,관악구 신림동 467-0
남부초등학교(지하주차장),노외 주차장,135.0,300.0,300.0,False,37.4868971,126.928177,관악구 신림동 467-0
남산동 공영주차장,노외 주차장,48.0,600.0,600.0,False,37.55841,126.98532,중구 남산동2가 30-4
남산케이블카 공영주차장,노상 주차장,21.0,660.0,660.0,False,37.55592104,126.98384264,중구 회현동1가 1-19
남산파출소 공영주차장,노상 주차장,14.0,680.0,680.0,False,37.55489261,126.98190801,중구 회현동1가 1-16
남산파출소공영주차장,노외 주차장,13.0,660.0,660.0,False,37.55689,126.98138,중구 회현동1가 1-16
남성사계시장공영주차장,노외 주차장,18.0,600.0,600.0,False,37.4856963,126.9723525,동작구 사당동 139-67
남성역공영주차장,노외 주차장,80.0,350.0,350.0,False,37.4856963,126.9723525,동작구 사당동 318-12
남현소공원 공영주차장,노외 주차장,97.0,800.0,800.0,False,37.4715479,126.9764934,관악구 남현동 1063-1
내곡동 (임시) 공영주차장,노외 주차장,80.0,200.0,200.0,False,37.44505,127.05985,서초구 신원동 80-80
냉천길 공영주차장,노외 주차장,104.0,400.0,400.0,False,37.628995,127.0257543,강북구 미아동 756-1
노량진역공영주차장,노외 주차장,13.0,200.0,200.0,False,37.5110101,126.9414634,동작구 노량진동 60-12
노원세무서 앞 공영주차장,노상 주차장,1.0,,400.0,True,37.64643,127.04326,도봉구 창동 15-0
논현로22길,노외 주차장,97.0,400.0,400.0,False,37.48421,127.07006,강남구 개포동 1266-0
논현로28길 노상공영 주차장,노상 주차장,1.0,600.0,600.0,False,37.4878395,127.0438569,강남구 도곡동 524-0
논현로32길15 공영주차장,노외 주차장,16.0,600.0,600.0,False,37.4878395,127.0438569,강남구 도곡동 516-2
논현초교 공영주차장,노외 주차장,192.0,600.0,600.0,False,37.5123018,127.0294935,강남구 논현동 168-0
놀이마당,노외 주차장,17.0,,400.0,True,37.5122807,127.0855986,송파구 잠실동 47-0
누리 공영주차장,노외 주차장,19.0,,400.0,True,37.5162407,126.8521196,양천구 신정동 323-13
늘봄주차장,노외 주차장,72.0,200.0,200.0,False,37.58178,127.09034,중랑구 면목동 22-12
능골주차장,노외 주차장,61.0,100.0,100.0,False,37.52782,126.83692,양천구 신월동 152-38
능동공영주차장,노외 주차장,77.0,400.0,400.0,False,37.55444,127.08156,광진구 능동 205-0
다동공원 제4부지 공영주차장,노외 주차장,15.0,800.0,800.0,False,37.56749,126.98075,중구 다동 39-3
다락골주차장,노외 주차장,102.0,100.0,100.0,False,37.5162407,126.8521196,양천구 신정동 1158-1
다목적 공영주차장,노외 주차장,46.0,130.0,130.0,False,37.468399,126.8979571,금천구 독산동 971-0
달마을주차장,노외 주차장,30.0,100.0,100.0,False,37.53608,126.87585,양천구 목동 532-18
답십리2동 노외주차장(홍약국옆),노외 주차장,58.0,500.0,500.0,False,37.57002,127.05467,동대문구 답십리동 36-12
당고개위 공영주차장,노상 주차장,23.0,520.0,520.0,False,37.670443129999995,127.08058642,노원구 상계동 111-568
당곡주차장,노외 주차장,45.0,100.0,100.0,False,37.52782,126.83692,양천구 신월동 482-11
당산1동공영,노외 주차장,91.0,200.0,200.0,False,37.52616,126.89724,영등포구 당산동3가 6-1
당산2동,노외 주차장,31.0,300.0,300.0,False,37.5346241,126.9065487,영등포구 당산동 121-105
당산고가밑 공영주차장,노상 주차장,23.0,520.0,520.0,False,37.53239477,126.90068662,영등포구 당산동5가 9-15
당산근린공원 공영,노외 주차장,190.0,300.0,300.0,False,37.52616,126.89724,영등포구 당산동3가 385-0
당산노외공영주차장,노외 주차장,236.0,520.0,520.0,False,37.52625065,126.89945376,영등포구 당산동3가 2-1
당인 유료 주차장,노상 주차장,1.0,600.0,600.0,False,37.5477846,126.9095636,마포구 합정동 362-1
당인노상공영주차장,노상 주차장,1.0,600.0,600.0,False,37.5477846,126.9095636,마포구 합정동 362-5
대림1동공영,노외 주차장,155.0,200.0,200.0,False,37.4957573,126.899936,영등포구 대림동 834-1
대림2동공영,노외 주차장,151.0,100.0,100.0,False,37.4957573,126.899936,영등포구 대림동 1072-25
대림3동 공영주차장,노외 주차장,99.0,100.0,100.0,False,37.4957573,126.899936,영등포구 대림동 745-1
대림노외공영주차장,노외 주차장,93.0,520.0,520.0,False,37.4928472,126.89433148,구로구 구로동 120-5
대림역,노상 주차장,1.0,520.0,520.0,False,37.4957573,126.899936,영등포구 대림동 808-8
대림역 공영주차장,노상 주차장,18.0,520.0,520.0,False,37.493081185,126.89539544,영등포구 대림동 808-24
대림역2 공영주차장,노상 주차장,35.0,520.0,520.0,False,37.49583349,126.89369871,구로구 구로동 73-9
대림운동장,노외 주차장,192.0,100.0,100.0,False,37.4957573,126.899936,영등포구 대림동 780-0
대방생태공영주차장,노외 주차장,39.0,300.0,300.0,False,37.5067997,126.9291349,동작구 대방동 395-1
대왕초 공영주차장,노외 주차장,100.0,200.0,200.0,False,37.4708898,127.1033677,강남구 세곡동 517-0
대지시장길 공영주차장,노외 주차장,47.0,400.0,400.0,False,37.628995,127.0257543,강북구 미아동 703-8
대청역 공영주차장,노외 주차장,168.0,200.0,200.0,False,37.48421,127.07006,강남구 개포동 13-2
대치2문화센터 공영주차장,노외 주차장,159.0,600.0,600.0,False,37.49882,127.06566,강남구 대치동 980-9
대치동507-3,노상 주차장,5.0,1200.0,1200.0,False,37.49882,127.06566,강남구 대치동 507-3
대치유수지,노상 주차장,5.0,800.0,800.0,False,37.49882,127.06566,강남구 대치동 78-29
대현산배수지 주차장,노외 주차장,5.0,300.0,300.0,False,37.55286,127.02393,성동구 금호동1가 103-0
대흥공영주차장,노외 주차장,20.0,500.0,500.0,False,37.5510043,126.9419496,마포구 대흥동 73-27
덕성엔앰피,노상 주차장,5.0,,400.0,True,37.4753253,126.8863954,금천구 가산동 345-15
덕원주차장,노외 주차장,77.0,500.0,500.0,False,37.57105,127.06806,동대문구 장안동 458-8
도곡로 327 공영주차장,노외 주차장,17.0,800.0,800.0,False,37.49988,127.03856,강남구 역삼동 765-22
도곡로 421 공영주차장,노외 주차장,27.0,800.0,800.0,False,37.49882,127.06566,강남구 대치동 939-21
도곡로21길 7 공영주차장,노외 주차장,75.0,800.0,800.0,False,37.49988,127.03856,강남구 역삼동 795-25
도곡초 공영주차장,노외 주차장,200.0,600.0,600.0,False,37.49882,127.06566,강남구 대치동 924-10
도깨비시장 공영주차장,노외 주차장,81.0,200.0,200.0,False,37.66442,127.03333,도봉구 방학동 632-1
도림고가 노상주차장,노상 주차장,1.0,200.0,200.0,False,37.51217,126.89799,영등포구 문래동1가 39-1
도림동 공영주차장,노외 주차장,26.0,100.0,100.0,False,37.5082619,126.8993866,영등포구 도림동 226-13
도봉2동 6공영주차장,노외 주차장,13.0,,400.0,True,37.6826056,127.0425405,도봉구 도봉동 59-1
도봉산 공영주차장,노외 주차장,135.0,340.0,340.0,False,37.6876442,127.04066026,도봉구 도봉동 282-26
도봉산역 공영주차장,노외 주차장,358.0,340.0,340.0,False,37.68972069,127.04483862,도봉구 도봉동 288-19
