행정동코드,연도,월,시간대구분,총생활인구수,월별총인구,시간대비율
11650652,2023,1,15,1455796.9736,27594842.4436,0.05275612559033252
11650652,2023,1,16,1424051.8676,27594842.4436,0.051605725617407054
11650652,2023,1,17,1354545.3254,27594842.4436,0.04908690195164191
11650652,2023,1,18,1211875.7274,27594842.4436,0.04391674748195807
11650652,2023,1,19,1108104.2922,27594842.4436,0.04015621014922663
11650652,2023,1,20,1044102.6585,27594842.4436,0.03783687696836827
11650652,2023,1,21,992973.6039,27594842.4436,0.03598402875209378
11650652,2023,1,22,957998.0193,27594842.4436,0.034716560576782206
11650652,2023,1,23,861377.8692,27594842.4436,0.031215176204051027
11650652,2023,12,0,841621.1104,27643326.0717,0.030445725243664293
11650652,2023,12,1,830875.8728,27643326.0717,0.030057015231991696
11650652,2023,12,2,828855.7281,27643326.0717,0.029983936301664703
11650652,2023,12,3,827548.9389,27643326.0717,0.029936663075692888
11650652,2023,12,4,833390.4814,27643326.0717,0.03014798144182758
11650652,2023,12,5,869825.8656,27643326.0717,0.031466034996797614
11650652,2023,12,6,986512.322,27643326.0717,0.035687178867015834
11650652,2023,12,7,1129553.0616,27643326.0717,0.04086169148640857
11650652,2023,12,8,1276090.0094,27643326.0717,0.046162679776309695
11650652,2023,12,9,1387805.4915,27643326.0717,0.050203998169408896
11650652,2023,12,10,1458756.0989,27643326.0717,0.052770643269060495
11650652,2023,12,11,1489386.9235,27643326.0717,0.053878716317887945
11650652,2023,12,12,1497653.1375,27643326.0717,0.054177747410548774
11650652,2023,12,13,1500033.9749,27643326.0717,0.05426387443425875
11650652,2023,12,14,1497931.8313,27643326.0717,0.054187829185776436
11650652,2023,12,15,1474873.9824,27643326.0717,0.053353709266914524
11650652,2023,12,16,1427421.287,27643326.0717,0.05163710341142089
11650652,2023,12,17,1336278.5921,27643326.0717,0.048340007589319084
11650652,2023,12,18,1204531.2662,27643326.0717,0.04357403530514894
11650652,2023,12,19,1107388.2127,27643326.0717,0.04005987592910155
11650652,2023,12,20,1049113.3204,27643326.0717,0.03795177605179846
11650652,2023,12,21,990407.2529,27643326.0717,0.035828078369843294
11650652,2023,12,22,937431.0762,27643326.0717,0.03391166004295337
11650652,2023,12,23,860040.2339999999,27643326.0717,0.03111203882518575
11650660,2023,1,0,684873.4007,18417858.7429,0.03718528903171307
11650660,2023,1,1,685960.3638,18417858.7429,0.037244305832480916
11650660,2023,1,2,688538.1516,18417858.7429,0.03738426715132823
11650660,2023,1,3,689541.4212,18417858.7429,0.03743873980279141
11650660,2023,1,4,696122.1323,18417858.7429,0.03779604035503595
11650660,2023,1,5,710340.8792,18417858.7429,0.038568049039567814
11650660,2023,1,6,784325.3577,18417858.7429,0.042585045778047025
