연도,자치구명,행정동명,행정동코드,월,전력사용량,평균생활인구,log_전력,log_인구
2023,동대문구,전농제2동,11230570,12,3697.997,16093.308795295698,8.215546600697417,9.686158861809119
2023,동대문구,답십리제1동,11230600,1,8545.973,22301.241893682796,9.053215456826173,10.01239764619724
2023,동대문구,답십리제1동,11230600,12,7247.809,22615.735083870964,8.888454495278463,10.026401185645065
2023,동대문구,답십리제2동,11230610,1,8041.777,22989.29645712366,8.99240535765221,10.04278401516299
2023,동대문구,답십리제2동,11230610,12,6705.518,21307.977956989245,8.810686048510973,9.966836833541763
2023,동대문구,장안제1동,11230650,1,15568.721,34693.31677016129,9.653019116303016,10.454302347101597
2023,동대문구,장안제1동,11230650,12,12699.573,35296.92728467742,9.449323649834206,10.47155119337284
2023,동대문구,장안제2동,11230660,1,11181.756,28042.74413172043,9.322038800565112,10.241485201257374
2023,동대문구,장안제2동,11230660,12,9271.793,29582.519666666667,9.134732059489961,10.294938914065952
2023,동대문구,청량리동,11230705,1,7764.723,20220.69001061828,8.957346062055317,9.914461617146431
2023,동대문구,청량리동,11230705,12,6989.818,21510.709256586022,8.852209797692888,9.976306195060149
2023,동대문구,회기동,11230710,1,9062.641,18560.62415967742,9.111915857662586,9.828797635067705
2023,동대문구,회기동,11230710,12,8650.589,20968.946238575267,9.065382690093285,9.95079787173088
2023,동대문구,휘경제1동,11230720,1,4295.716,16538.75734126344,8.365373525996022,9.713461835239128
2023,동대문구,휘경제1동,11230720,12,3570.248,17429.159007930106,8.180390340148024,9.76589988766155
2023,동대문구,휘경제2동,11230730,1,6384.814,19048.386824596775,8.761677637267075,9.85473769584567
2023,동대문구,휘경제2동,11230730,12,5625.969,19845.389021505376,8.635148478903089,9.895726968023537
2023,동대문구,이문제1동,11230740,1,5730.816,21960.640203494622,8.653613207946638,9.997007048363121
2023,동대문구,이문제1동,11230740,12,5223.007,26201.693594758064,8.560828568661325,10.173579328681347
2023,동대문구,이문제2동,11230750,1,4588.41,14358.480867876344,8.431288837813682,9.572096047861047
2023,동대문구,이문제2동,11230750,12,3897.81,13372.61584717742,8.26817013593443,9.500964301458358
2023,중랑구,면목제2동,11260520,1,6223.063,21276.016864919355,8.736017508252507,9.9653357485353
2023,중랑구,면목제2동,11260520,12,5229.594,19963.545815053763,8.562088924982579,9.901663180133042
2023,중랑구,면목제4동,11260540,1,3912.749,17148.45553387097,8.271995474995855,9.749663392204717
2023,중랑구,면목제4동,11260540,12,3305.437,16286.050081989248,8.103323967448153,9.698064197178264
2023,중랑구,면목제5동,11260550,1,3673.202,11441.563456182796,8.208819040223592,9.34500792134612
2023,중랑구,면목제5동,11260550,12,3238.966,11834.92975013441,8.083009422049239,9.378810586158131
2023,중랑구,면목본동,11260565,1,8240.955,26796.861436424733,9.016871514246109,10.196040049059802
2023,중랑구,면목본동,11260565,12,6832.522,27958.44713924731,8.829449137701905,10.238474656151888
2023,중랑구,면목제7동,11260570,1,5626.607,18540.83886814516,8.63526187516021,9.827731084490281
2023,중랑구,면목제7동,11260570,12,4706.925,17465.77463736559,8.456790107558456,9.767998509957055
2023,중랑구,면목제3.8동,11260575,1,7556.086,20492.67749435484,8.93010861024006,9.927822905919703
2023,중랑구,면목제3.8동,11260575,12,6230.582,21223.87665389785,8.737225026358832,9.96288208416753
2023,중랑구,상봉제1동,11260580,1,5850.096,17790.167021774192,8.674213350347665,9.786401169136
2023,중랑구,상봉제1동,11260580,12,5165.695,17348.86023064516,8.54979493203675,9.761282090458938
2023,중랑구,상봉제2동,11260590,1,8883.57,26063.96566290323,9.091958782222031,10.168309013426258
2023,중랑구,상봉제2동,11260590,12,7555.688,25969.618902553764,8.930055936080151,10.16468263002289
2023,중랑구,중화제1동,11260600,1,4125.483,14912.678264112903,8.324938382823268,9.609967020340617
2023,중랑구,중화제1동,11260600,12,3441.066,14905.775276209679,8.14353658608433,9.609504019265314
2023,중랑구,중화제2동,11260610,1,6639.177,27121.334676478495,8.800743289005434,10.208075954577833
2023,중랑구,중화제2동,11260610,12,5515.447,25853.1839297043,8.615307980080336,10.160189041779477
2023,중랑구,묵제1동,11260620,1,7657.573,25894.16463884409,8.943450371798937,10.161772918783445
2023,중랑구,묵제1동,11260620,12,6649.88,25545.319481048387,8.802354088374303,10.148209388284789
2023,중랑구,묵제2동,11260630,1,4574.798,19147.78693266129,8.428317823729385,9.859942423056573
2023,중랑구,묵제2동,11260630,12,3808.474,18709.871615725806,8.244983862954829,9.836806557444797
2023,중랑구,망우본동,11260655,1,12210.579,38968.5212735215,9.410057986127871,10.570509452360609
2023,중랑구,망우본동,11260655,12,10165.089,41462.094172983874,9.226714481557812,10.632534895398758
2023,중랑구,망우제3동,11260660,1,3836.09,11986.143330107529,8.252208897667622,9.391506539073408
2023,중랑구,망우제3동,11260660,12,3259.368,10714.046657930106,8.089288590535824,9.279310931287696
2023,중랑구,신내1동,11260680,1,11780.473,35156.98002459678,9.374198609200834,10.467578455749425
2023,중랑구,신내1동,11260680,12,10181.074,34514.40432284946,9.228285785521996,10.449132032487979
2023,중랑구,신내2동,11260690,1,4255.415,17630.166994489246,8.355947568566432,9.777366747524551
2023,중랑구,신내2동,11260690,12,3647.867,17296.65417432796,8.201897892196268,9.758268361453752
2023,성북구,성북동,11290525,1,6788.1,20059.032662096775,8.822926358125391,9.906434838124722
2023,성북구,성북동,11290525,12,5438.91,20510.086756451612,8.60133395212665,9.928672081016115
2023,성북구,삼선동,11290555,1,7168.865,25265.514488978497,8.877502622597312,10.13719568122255
2023,성북구,삼선동,11290555,12,6092.771,25898.937506451613,8.714858265429278,10.16195722392924
2023,성북구,동선동,11290575,1,9197.027,23793.520391935483,9.126635558638304,10.077168570152457
2023,성북구,동선동,11290575,12,7689.681,26248.650643817204,8.947634579194537,10.175369862653477
2023,성북구,돈암제1동,11290580,1,2935.29,12977.918227284947,7.984561534876799,9.471004594289399
2023,성북구,돈암제1동,11290580,12,2520.061,12787.309406854838,7.832038386561706,9.456208505504023
2023,성북구,돈암제2동,11290590,1,4493.294,14290.241766801077,8.410341342050675,9.56733218938129
2023,성북구,돈암제2동,11290590,12,3886.558,13855.208500268816,8.2652792120119,9.536416505922125
2023,성북구,안암동,11290600,1,15909.054,22182.228531182795,9.67464366010459,10.00704673066246
2023,성북구,안암동,11290600,12,15050.741,27416.884697311827,9.619182504845375,10.218914332413426
2023,성북구,보문동,11290610,1,4759.222,16311.014394623655,8.467839488488663,9.699595888323827
2023,성북구,보문동,11290610,12,3969.667,15873.381163709677,8.28643749106999,9.672398844621648
2023,성북구,정릉제1동,11290620,1,3542.423,14016.575724327957,8.172566235266501,9.547995888554597
2023,성북구,정릉제1동,11290620,12,3027.432,14204.89258844086,8.015470014398781,9.561341732727906
2023,성북구,정릉제2동,11290630,1,5088.889,19574.66256747312,8.534814814600118,9.88199128277802
2023,성북구,정릉제2동,11290630,12,4527.1,19925.881592741935,8.417836836876102,9.899774748237549
2023,성북구,정릉제3동,11290640,1,7283.427,14396.752822849461,8.89335677218483,9.57475796172227
2023,성북구,정릉제3동,11290640,12,6723.814,16011.938885080646,8.813410832040013,9.681089903285335
2023,성북구,정릉제4동,11290650,1,6280.105,18298.394071908602,8.745141979067693,9.814568579345352
2023,성북구,정릉제4동,11290650,12,5774.345,18372.582634005375,8.66118010904405,9.818614758093572
2023,성북구,길음제1동,11290660,1,7691.74,35989.112101478495,8.947902304785337,10.490971730067958
2023,성북구,길음제1동,11290660,12,6823.432,35829.31313077957,8.828117850068315,10.486521639888611
2023,성북구,길음제2동,11290685,1,8235.107,19173.45910766129,9.016161635848519,9.861282263562464
2023,성북구,길음제2동,11290685,12,7187.197,18814.325111693546,8.880056527695256,9.84237383268947
2023,성북구,종암동,11290705,1,9064.596,38154.88873723118,9.112131555179817,10.54940917364639
2023,성북구,종암동,11290705,12,7921.827,39035.47134193548,8.977377140023695,10.572226033335737
