연도,자치구명,행정동명,행정동코드,월,전력사용량,시간대구분,시간대비율,추정전력
2023,서대문구,홍제제1동,11410620,12,4684.877,14,0.03635323273656313,170.31042392317167
2023,서대문구,홍제제1동,11410620,12,4684.877,15,0.036886248412023995,172.80753680177776
2023,서대문구,홍제제1동,11410620,12,4684.877,16,0.03758197688734291,176.06693913404442
2023,서대문구,홍제제1동,11410620,12,4684.877,17,0.03816515632647915,178.79906307532667
2023,서대문구,홍제제1동,11410620,12,4684.877,18,0.039330544212341605,184.25876197788233
2023,서대문구,홍제제1동,11410620,12,4684.877,19,0.040820689173789095,191.23990783443355
2023,서대문구,홍제제1동,11410620,12,4684.877,20,0.04170549061356841,195.38509374922253
2023,서대문구,홍제제1동,11410620,12,4684.877,21,0.0429607111726162,201.26564767623267
2023,서대문구,홍제제1동,11410620,12,4684.877,22,0.04423532715306296,207.23706676686018
2023,서대문구,홍제제1동,11410620,12,4684.877,23,0.04557402798890715,213.50871552258735
2023,서대문구,홍제제3동,11410640,1,4260.384,0,0.046106858058170996,196.4329203613028
2023,서대문구,홍제제3동,11410640,1,4260.384,1,0.04619286771858328,196.79935454236872
2023,서대문구,홍제제3동,11410640,1,4260.384,2,0.046032275177070724,196.11516864798926
2023,서대문구,홍제제3동,11410640,1,4260.384,3,0.04585496616690488,195.35976417802289
2023,서대문구,홍제제3동,11410640,1,4260.384,4,0.04557850261188893,194.1819232716498
2023,서대문구,홍제제3동,11410640,1,4260.384,5,0.04553021441218239,193.97619699823127
2023,서대문구,홍제제3동,11410640,1,4260.384,6,0.044755289814208406,190.67472063981646
2023,서대문구,홍제제3동,11410640,1,4260.384,7,0.04341532147648538,184.96594097327468
2023,서대문구,홍제제3동,11410640,1,4260.384,8,0.041330116207519245,176.08216580865567
2023,서대문구,홍제제3동,11410640,1,4260.384,9,0.03974991187174186,169.34988853977907
2023,서대문구,홍제제3동,11410640,1,4260.384,10,0.03869356144611901,164.8494300880623
2023,서대문구,홍제제3동,11410640,1,4260.384,11,0.03808382746288438,162.2517291816332
2023,서대문구,홍제제3동,11410640,1,4260.384,12,0.037310936411389106,158.95891651209956
2023,서대문구,홍제제3동,11410640,1,4260.384,13,0.03694597591462624,157.404044651059
2023,서대문구,홍제제3동,11410640,1,4260.384,14,0.0369758357729832,157.53125911384524
2023,서대문구,홍제제3동,11410640,1,4260.384,15,0.03740988542592274,159.38047731043443
2023,서대문구,홍제제3동,11410640,1,4260.384,16,0.03768166237749264,160.5383514864716
2023,서대문구,홍제제3동,11410640,1,4260.384,17,0.03836238682748644,163.43849904163397
2023,서대문구,홍제제3동,11410640,1,4260.384,18,0.039550591992109474,168.50070931371133
2023,서대문구,홍제제3동,11410640,1,4260.384,19,0.04059401550224662,172.94609414152347
2023,서대문구,홍제제3동,11410640,1,4260.384,20,0.04133759611945,176.11403310576688
2023,서대문구,홍제제3동,11410640,1,4260.384,21,0.042697269397640916,181.906763385399
2023,서대문구,홍제제3동,11410640,1,4260.384,22,0.04368339384746482,186.10803221343755
2023,서대문구,홍제제3동,11410640,1,4260.384,23,0.0461267379874283,196.51761649383172
2023,서대문구,홍제제3동,11410640,12,3493.744,0,0.045914434497377,160.41328003860392
2023,서대문구,홍제제3동,11410640,12,3493.744,1,0.045760856759093194,159.87671873694129
2023,서대문구,홍제제3동,11410640,12,3493.744,2,0.04558861817728353,159.27496122517528
2023,서대문구,홍제제3동,11410640,12,3493.744,3,0.045638684961904465,159.44988175354396
2023,서대문구,홍제제3동,11410640,12,3493.744,4,0.04493990280360394,157.00851578067443
2023,서대문구,홍제제3동,11410640,12,3493.744,5,0.04455543605897382,155.66528739842346
2023,서대문구,홍제제3동,11410640,12,3493.744,6,0.043979117531909105,153.65177800240224
2023,서대문구,홍제제3동,11410640,12,3493.744,7,0.04244460568635112,148.2905864490551
2023,서대문구,홍제제3동,11410640,12,3493.744,8,0.04112534735877743,143.6814355826445
2023,서대문구,홍제제3동,11410640,12,3493.744,9,0.039694624215143734,138.68285518391315
2023,서대문구,홍제제3동,11410640,12,3493.744,10,0.03902129026977233,136.33039875227547
2023,서대문구,홍제제3동,11410640,12,3493.744,11,0.038207497946650563,133.48721670612272
2023,서대문구,홍제제3동,11410640,12,3493.744,12,0.03745525345068601,130.85906701181355
2023,서대문구,홍제제3동,11410640,12,3493.744,13,0.037194628285709457,129.9485094054277
2023,서대문구,홍제제3동,11410640,12,3493.744,14,0.03769766957349008,131.70600688636353
2023,서대문구,홍제제3동,11410640,12,3493.744,15,0.03803838132346485,132.8963665185674
2023,서대문구,홍제제3동,11410640,12,3493.744,16,0.038532412945100264,134.62238653246638
2023,서대문구,홍제제3동,11410640,12,3493.744,17,0.03910984320189635,136.63978002756616
2023,서대문구,홍제제3동,11410640,12,3493.744,18,0.04013568694540002,140.22381545136966
2023,서대문구,홍제제3동,11410640,12,3493.744,19,0.0410156741268437,143.2982653866154
2023,서대문구,홍제제3동,11410640,12,3493.744,20,0.041602703682370644,145.34919637406034
2023,서대문구,홍제제3동,11410640,12,3493.744,21,0.042813657415786174,149.57995871445846
2023,서대문구,홍제제3동,11410640,12,3493.744,22,0.04387517774728562,153.28863900351266
2023,서대문구,홍제제3동,11410640,12,3493.744,23,0.04565849503512669,159.51909307800366
2023,서대문구,홍제제2동,11410655,1,2719.339,0,0.05106849839667329,138.87255936151115
2023,서대문구,홍제제2동,11410655,1,2719.339,1,0.050460934278717694,137.2203865605539
