행정동코드,자치구명,행정동명,평균전력사용량,평균생활인구,평균전력효율지표,지역분류
11305630,강북구,수유3동,7918.3983055555545,26795.841765630656,0.29662217706352967,중간
11305645,강북구,우이동,4697.8772500000005,18301.796779532873,0.257606628009688,중간
11305660,강북구,인수동,6376.744694444445,26778.052295343055,0.23828425233461217,잉여가능
11320511,도봉구,창제1동,4905.650833333333,20068.02930397309,0.24552014976765232,잉여가능
11320512,도봉구,창제2동,6080.615833333333,29653.9093204749,0.2055745931866577,잉여가능
11320513,도봉구,창제3동,2587.8958055555554,10028.420006438118,0.25869652620316613,중간
11320514,도봉구,창제4동,7437.4503888888885,27818.9855865577,0.2671727164055387,중간
11320515,도봉구,창제5동,6665.441416666667,18812.247560735166,0.35569374197016385,수요집중
11320521,도봉구,도봉제1동,5872.270277777778,17852.012202130074,0.32980308381852125,수요집중
11320522,도봉구,도봉제2동,5496.147694444445,18654.59913905074,0.2946501540334748,중간
11320660,도봉구,쌍문제1동,4833.750027777777,16590.033668824482,0.2926715216689033,중간
11320670,도봉구,쌍문제2동,4437.013111111111,17076.769277977943,0.25955433309301684,중간
11320680,도봉구,쌍문제3동,4034.6088333333337,16208.866494174665,0.24916471966278575,잉여가능
11320681,도봉구,쌍문제4동,2934.1499166666667,12419.831888638124,0.2378691838917251,잉여가능
11320690,도봉구,방학제1동,8380.666305555556,23256.003053533626,0.3602116228079433,수요집중
11320700,도봉구,방학제2동,3812.2092777777775,10889.476060807232,0.35070891398590187,수요집중
11320710,도봉구,방학제3동,4465.327805555556,20410.28696764943,0.2188830612381836,잉여가능
11350560,노원구,월계1동,6424.902388888889,21825.693506388183,0.2970443667826595,중간
11350570,노원구,월계2동,3966.7513888888884,18950.62531236475,0.21024172247447315,잉여가능
11350580,노원구,월계3동,4809.468055555556,23289.961434709745,0.20656908362729876,잉여가능
11350595,노원구,공릉1동,9391.593277777778,41143.7767199135,0.22906398906741166,잉여가능
11350600,노원구,공릉2동,16354.525027777776,45830.83578282941,0.35937291023374995,수요집중
11350611,노원구,하계1동,6644.316138888888,24913.281930742512,0.2678254760999225,중간
11350612,노원구,하계2동,2333.272027777778,16024.728690893253,0.14640476348139334,잉여가능
11350619,노원구,중계본동,4904.687333333333,19918.08236604484,0.24616426091395274,잉여가능
11350621,노원구,중계1동,4272.289805555555,25081.396080728937,0.17033997804899437,잉여가능
11350624,노원구,중계4동,4373.556722222222,15581.832539394,0.28115323230697215,중간
11350625,노원구,중계2.3동,6579.538277777778,30792.228301846222,0.2141573173903042,잉여가능
11350630,노원구,상계1동,7826.650805555556,35041.80971930262,0.22346508901283585,잉여가능
11350640,노원구,상계2동,8933.759277777779,28524.73661233978,0.313139095071316,중간
11350665,노원구,상계3.4동,3032.59625,20212.60920978528,0.14990760321482136,잉여가능
11350670,노원구,상계5동,3913.6236666666664,16995.272287113992,0.23094972249016749,잉여가능
11350695,노원구,상계6.7동,11773.635222222223,45616.39176373786,0.2581974381414939,중간
11350700,노원구,상계8동,3268.3642777777777,17653.832402599794,0.18543594240340436,잉여가능
11350710,노원구,상계9동,1898.2166944444446,17172.82288316713,0.11079872940889715,잉여가능
11350720,노원구,상계10동,3104.888361111111,12685.722024789902,0.24504426840056923,잉여가능
11380510,은평구,녹번동,8647.200333333334,32205.171449881964,0.2688613570526325,중간
11380520,은평구,불광제1동,20595.03163888889,26866.371979503936,0.7691686876566739,수요집중
11380530,은평구,불광제2동,5227.215194444445,20936.561462757334,0.24971801406859495,잉여가능
11380551,은평구,갈현제1동,4537.028861111111,19094.57439010114,0.23966673792142398,잉여가능
11380552,은평구,갈현제2동,6192.028333333333,21732.50617950197,0.28541550163228896,중간
11380560,은평구,구산동,5479.953777777778,25028.836617375884,0.21912584729535922,잉여가능
11380570,은평구,대조동,8257.951138888888,49251.25432712867,0.16971848876766812,잉여가능
11380580,은평구,응암제1동,8339.91975,22720.41463831733,0.3676519261967689,수요집중
11380590,은평구,응암제2동,5034.190638888889,15765.618893410374,0.3196282861446778,중간
11380600,은평구,응암제3동,5668.738305555556,24438.98392081481,0.2325629838886329,잉여가능
11380625,은평구,역촌동,8317.778361111112,40151.637736792814,0.20731913034355204,잉여가능
11380631,은평구,신사제1동,4920.768472222222,22925.94712181958,0.21459884225691556,잉여가능
11380632,은평구,신사제2동,3189.7185,12920.130015055342,0.24750217010098055,잉여가능
11380640,은평구,증산동,3475.469888888889,14475.578937875096,0.24028656321223035,잉여가능
11380650,은평구,수색동,5167.139416666667,14019.016020655188,0.37568973882493695,수요집중
11380690,은평구,진관동,15282.818166666668,57474.1714721681,0.2663633733785299,중간
11410520,서대문구,천연동,3574.175277777778,15395.8355772679,0.23402540024170854,잉여가능
11410555,서대문구,북아현동,3697.429111111111,42641.57088893403,0.08722587527798256,잉여가능
11410565,서대문구,충현동,9619.084888888889,41579.45615323543,0.2317179648067581,잉여가능
11410585,서대문구,신촌동,35966.628,57949.728881562995,0.6288487084190496,수요집중
11410615,서대문구,연희동,9948.808972222223,37572.92754673848,0.2654947714981662,중간
11410620,서대문구,홍제제1동,4680.252305555556,24062.70683461965,0.19449588940074106,잉여가능
11410640,서대문구,홍제제3동,3688.882666666667,14881.580523527538,0.24833883599703668,잉여가능
11410655,서대문구,홍제제2동,2385.519277777778,9747.86795123344,0.24568305235868781,잉여가능
11410660,서대문구,홍은제1동,4017.6896388888886,14528.977966127268,0.2775124003577032,중간
11410685,서대문구,홍은제2동,6363.771472222222,22409.124697781794,0.2846817707391988,중간
