연도,자치구명,행정동명,행정동코드,월,전력사용량
2018,종로구,부암동,11110550,4,2737.076
2018,종로구,부암동,11110550,5,2358.531
2018,종로구,부암동,11110550,6,2432.136
2018,종로구,부암동,11110550,7,2555.372
2018,종로구,부암동,11110550,8,3403.031
2018,종로구,부암동,11110550,9,2866.482
2018,종로구,부암동,11110550,10,2248.005
2018,종로구,부암동,11110550,11,2609.718
2018,종로구,부암동,11110550,12,3080.246
2019,종로구,부암동,11110550,1,3580.59
2019,종로구,부암동,11110550,2,3463.126
2019,종로구,부암동,11110550,3,2814.016
2019,종로구,부암동,11110550,4,2806.909
2019,종로구,부암동,11110550,5,2389.487
2019,종로구,부암동,11110550,6,2437.361
2019,종로구,부암동,11110550,7,2509.333
2019,종로구,부암동,11110550,8,3047.843
2019,종로구,부암동,11110550,9,2823.202
2019,종로구,부암동,11110550,10,2374.827
2019,종로구,부암동,11110550,11,2528.543
2019,종로구,부암동,11110550,12,3123.699
2020,종로구,부암동,11110550,1,3395.594
2020,종로구,부암동,11110550,2,3262.127
2020,종로구,부암동,11110550,3,2786.062
2020,종로구,부암동,11110550,4,2485.86
2020,종로구,부암동,11110550,5,2251.154
2020,종로구,부암동,11110550,6,2329.978
2020,종로구,부암동,11110550,7,2467.34
2020,종로구,부암동,11110550,8,2708.453
2020,종로구,부암동,11110550,9,2493.114
2020,종로구,부암동,11110550,10,2182.204
2020,종로구,부암동,11110550,11,2509.557
2020,종로구,부암동,11110550,12,2971.405
2021,종로구,부암동,11110550,1,3538.199
2021,종로구,부암동,11110550,2,3402.892
2021,종로구,부암동,11110550,3,2674.259
2021,종로구,부암동,11110550,4,2497.8
2021,종로구,부암동,11110550,5,2218.54
2021,종로구,부암동,11110550,6,2312.871
2021,종로구,부암동,11110550,7,2616.71
2021,종로구,부암동,11110550,8,3227.804
2021,종로구,부암동,11110550,9,2592.19
2021,종로구,부암동,11110550,10,2236.136
2021,종로구,부암동,11110550,11,2460.561
2021,종로구,부암동,11110550,12,2854.969
2022,종로구,부암동,11110550,1,3494.499
2022,종로구,부암동,11110550,2,3465.385
2022,종로구,부암동,11110550,3,2899.455
2022,종로구,부암동,11110550,4,2609.942
2022,종로구,부암동,11110550,5,2210.277
2022,종로구,부암동,11110550,6,2332.703
2022,종로구,부암동,11110550,7,2774.7
2022,종로구,부암동,11110550,8,3153.183
2022,종로구,부암동,11110550,9,2749.517
2022,종로구,부암동,11110550,10,2358.887
2022,종로구,부암동,11110550,11,2482.514
2022,종로구,부암동,11110550,12,2988.362
2023,종로구,부암동,11110550,1,3696.148
2023,종로구,부암동,11110550,2,3436.055
2023,종로구,부암동,11110550,3,2661.164
2023,종로구,부암동,11110550,4,2481.741
2023,종로구,부암동,11110550,5,2213.747
2023,종로구,부암동,11110550,6,2388.109
2023,종로구,부암동,11110550,7,2675.012
2023,종로구,부암동,11110550,8,3161.458
2023,종로구,부암동,11110550,9,3005.085
2023,종로구,부암동,11110550,10,2339.752
2023,종로구,부암동,11110550,11,2437.725
2023,종로구,부암동,11110550,12,3022.794
2024,종로구,부암동,11110550,1,3467.792
2024,종로구,부암동,11110550,2,3245.55
2024,종로구,부암동,11110550,3,2800.408
2024,종로구,부암동,11110550,4,2531.825
2024,종로구,부암동,11110550,5,2182.923
2024,종로구,부암동,11110550,6,2351.883
2024,종로구,부암동,11110550,7,2642.213
2024,종로구,부암동,11110550,8,3292.869
2024,종로구,부암동,11110550,9,3338.176
2024,종로구,부암동,11110550,10,2501.344
2024,종로구,부암동,11110550,11,2403.688
2024,종로구,부암동,11110550,12,2908.874
2025,종로구,부암동,11110550,1,3384.351
2025,종로구,부암동,11110550,2,3379.946
2025,종로구,부암동,11110550,3,2926.261
2025,종로구,부암동,11110550,4,2638.891
2025,종로구,부암동,11110550,5,2292.763
2025,종로구,부암동,11110550,6,0.0
2025,종로구,부암동,11110550,7,0.0
2025,종로구,부암동,11110550,8,0.0
2025,종로구,부암동,11110550,9,0.0
2025,종로구,부암동,11110550,10,0.0
2025,종로구,부암동,11110550,11,0.0
2025,종로구,부암동,11110550,12,0.0
2018,종로구,평창동,11110560,1,7696.563
2018,종로구,평창동,11110560,2,7950.575
2018,종로구,평창동,11110560,3,5939.368
2018,종로구,평창동,11110560,4,5253.341
2018,종로구,평창동,11110560,5,4402.36
2018,종로구,평창동,11110560,6,4293.655
2018,종로구,평창동,11110560,7,4698.745
2018,종로구,평창동,11110560,8,6249.599
2018,종로구,평창동,11110560,9,4848.114
2018,종로구,평창동,11110560,10,4097.353
2018,종로구,평창동,11110560,11,4992.706
2018,종로구,평창동,11110560,12,6197.112
2019,종로구,평창동,11110560,1,7245.454
2019,종로구,평창동,11110560,2,6940.641
2019,종로구,평창동,11110560,3,5463.81
2019,종로구,평창동,11110560,4,5347.739
2019,종로구,평창동,11110560,5,4256.335
2019,종로구,평창동,11110560,6,4094.651
2019,종로구,평창동,11110560,7,4347.613
2019,종로구,평창동,11110560,8,5531.338
2019,종로구,평창동,11110560,9,4789.102
2019,종로구,평창동,11110560,10,4110.981
2019,종로구,평창동,11110560,11,4755.495
2019,종로구,평창동,11110560,12,6053.352
2020,종로구,평창동,11110560,1,6757.36
2020,종로구,평창동,11110560,2,6515.28
2020,종로구,평창동,11110560,3,5671.143
2020,종로구,평창동,11110560,4,5006.226
2020,종로구,평창동,11110560,5,4390.143
2020,종로구,평창동,11110560,6,4364.303
2020,종로구,평창동,11110560,7,4497.9
2020,종로구,평창동,11110560,8,5161.754
2020,종로구,평창동,11110560,9,4650.46
2020,종로구,평창동,11110560,10,4136.593
2020,종로구,평창동,11110560,11,4842.212
2020,종로구,평창동,11110560,12,5992.491
2021,종로구,평창동,11110560,1,7216.633
2021,종로구,평창동,11110560,2,6669.39
2021,종로구,평창동,11110560,3,5297.515
2021,종로구,평창동,11110560,4,4835.516
2021,종로구,평창동,11110560,5,4227.665
2021,종로구,평창동,11110560,6,4249.646
2021,종로구,평창동,11110560,7,4872.52
2021,종로구,평창동,11110560,8,6035.004
2021,종로구,평창동,11110560,9,4693.852
2021,종로구,평창동,11110560,10,4192.927
2021,종로구,평창동,11110560,11,4846.981
2021,종로구,평창동,11110560,12,5788.506
2022,종로구,평창동,11110560,1,7117.068
2022,종로구,평창동,11110560,2,6923.935
2022,종로구,평창동,11110560,3,5594.535
2022,종로구,평창동,11110560,4,4998.224
2022,종로구,평창동,11110560,5,4090.644
2022,종로구,평창동,11110560,6,4153.232
2022,종로구,평창동,11110560,7,5136.657
2022,종로구,평창동,11110560,8,5802.024
2022,종로구,평창동,11110560,9,4833.591
2022,종로구,평창동,11110560,10,4157.463
2022,종로구,평창동,11110560,11,4585.708
2022,종로구,평창동,11110560,12,5826.289
2023,종로구,평창동,11110560,1,7231.587
2023,종로구,평창동,11110560,2,6746.588
2023,종로구,평창동,11110560,3,5045.404
2023,종로구,평창동,11110560,4,4536.525
2023,종로구,평창동,11110560,5,4077.923
2023,종로구,평창동,11110560,6,4117.435
2023,종로구,평창동,11110560,7,4900.27
2023,종로구,평창동,11110560,8,5877.613
2023,종로구,평창동,11110560,9,5269.457
2023,종로구,평창동,11110560,10,4128.436
2023,종로구,평창동,11110560,11,4493.595
2023,종로구,평창동,11110560,12,5729.92
2024,종로구,평창동,11110560,1,6806.502
2024,종로구,평창동,11110560,2,6322.844
2024,종로구,평창동,11110560,3,5427.434
2024,종로구,평창동,11110560,4,4645.991
2024,종로구,평창동,11110560,5,3953.321
2024,종로구,평창동,11110560,6,4190.896
2024,종로구,평창동,11110560,7,4877.847
2024,종로구,평창동,11110560,8,6401.438
2024,종로구,평창동,11110560,9,5996.006
2024,종로구,평창동,11110560,10,4453.885
2024,종로구,평창동,11110560,11,4414.814
2024,종로구,평창동,11110560,12,5692.282
2025,종로구,평창동,11110560,1,6758.195
2025,종로구,평창동,11110560,2,6738.906
2025,종로구,평창동,11110560,3,5434.925
2025,종로구,평창동,11110560,4,4854.098
2025,종로구,평창동,11110560,5,4186.292
2025,종로구,평창동,11110560,6,0.0
2025,종로구,평창동,11110560,7,0.0
2025,종로구,평창동,11110560,8,0.0
2025,종로구,평창동,11110560,9,0.0
2025,종로구,평창동,11110560,10,0.0
2025,종로구,평창동,11110560,11,0.0
2025,종로구,평창동,11110560,12,0.0
2018,종로구,무악동,11110570,1,1821.528
2018,종로구,무악동,11110570,2,1832.586
2018,종로구,무악동,11110570,3,1506.506
2018,종로구,무악동,11110570,4,1498.606
2018,종로구,무악동,11110570,5,1462.343
2018,종로구,무악동,11110570,6,1603.811
2018,종로구,무악동,11110570,7,1859.077
2018,종로구,무악동,11110570,8,2737.652
2018,종로구,무악동,11110570,9,1677.406
2018,종로구,무악동,11110570,10,1424.821
2018,종로구,무악동,11110570,11,1463.483
2018,종로구,무악동,11110570,12,1641.573
2019,종로구,무악동,11110570,1,1753.648
2019,종로구,무악동,11110570,2,1649.859
2019,종로구,무악동,11110570,3,1511.718
2019,종로구,무악동,11110570,4,1549.922
2019,종로구,무악동,11110570,5,1533.392
2019,종로구,무악동,11110570,6,1653.65
2019,종로구,무악동,11110570,7,1893.807
2019,종로구,무악동,11110570,8,2326.336
