연도,자치구명,행정동명,행정동코드,월,전력사용량,평균생활인구,전력효율지표
2023,도봉구,창제1동,11320511,3,4379.925,20374.580978225807,0.21497006513561187
2023,도봉구,창제1동,11320511,4,4417.102,20361.443323055555,0.21693462147638876
2023,도봉구,창제1동,11320511,5,4102.623,20121.9812530914,0.20388762659093035
2023,도봉구,창제1동,11320511,6,4469.493,20262.984822083334,0.22057426579765213
2023,도봉구,창제1동,11320511,7,5209.134,19949.874383064514,0.26111111779340546
2023,도봉구,창제1동,11320511,8,6305.763,19757.889923387098,0.3191516414177391
2023,도봉구,창제1동,11320511,9,5639.839,20136.356117083335,0.28008240255620326
2023,도봉구,창제1동,11320511,10,4394.424,19865.690906989246,0.22120670358632893
2023,도봉구,창제1동,11320511,11,4356.578,20081.403712916668,0.21694588995279163
2023,도봉구,창제1동,11320511,12,4799.623,20452.235705376344,0.23467473527788002
2024,도봉구,창제1동,11320511,1,5303.08,19985.451244758064,0.26534702344491384
2024,도봉구,창제1동,11320511,2,5139.477,19933.87662198276,0.257826267186397
2024,도봉구,창제1동,11320511,3,4471.124,19679.750404435483,0.22719414159807047
2024,도봉구,창제1동,11320511,4,4377.06,18694.445710416665,0.2341369232231943
2024,도봉구,창제1동,11320511,5,3994.185,18537.238851075268,0.21546817366321597
2024,도봉구,창제1동,11320511,6,4409.167,19172.780034722222,0.22997014475808547
2024,도봉구,창제1동,11320511,7,5176.254,19222.12060094086,0.26928631379758583
2024,도봉구,창제1동,11320511,8,6541.145,17620.044353629033,0.37123317448703147
2024,도봉구,창제1동,11320511,9,6402.892,17605.09200875,0.3636954579287438
2024,도봉구,창제1동,11320511,10,4695.628,18639.73339233871,0.2519149765269708
2024,도봉구,창제1동,11320511,11,4216.241,19932.35238236111,0.2115275166282486
2024,도봉구,창제1동,11320511,12,4593.698,20077.775198655912,0.22879517050811093
2025,도봉구,창제1동,11320511,1,5235.571,20140.066332258062,0.25995798194637815
2025,도봉구,창제1동,11320511,2,5306.023,20226.990404761902,0.26232389959263736
2025,도봉구,창제1동,11320511,3,4559.891,20413.72151263441,0.22337382221942254
2025,도봉구,창제1동,11320511,4,4469.851,20159.094194166668,0.22172876206379438
2025,도봉구,창제1동,11320511,5,4054.812,20049.2286405914,0.2022427931112862
2022,도봉구,창제2동,11320512,6,5619.75,29764.372328333335,0.18880794588940286
2022,도봉구,창제2동,11320512,7,6845.753,28293.40153575269,0.24195581402078603
2022,도봉구,창제2동,11320512,8,7880.75,27805.740188037635,0.2834216944668998
2022,도봉구,창제2동,11320512,9,6612.973,27856.87812652778,0.23739103032161177
2022,도봉구,창제2동,11320512,10,5470.765,27808.89999798387,0.19672712694125363
2022,도봉구,창제2동,11320512,11,5476.995,28120.55542611111,0.19476837910941053
2022,도봉구,창제2동,11320512,12,5874.552,28651.73162889785,0.20503305266460703
2023,도봉구,창제2동,11320512,1,6762.817,29141.489542069896,0.23206833646018366
2023,도봉구,창제2동,11320512,2,6433.362,28598.41707425595,0.22495517787910216
2023,도봉구,창제2동,11320512,3,5393.794,28621.927701344088,0.18844971087487958
2023,도봉구,창제2동,11320512,4,5470.677,28625.437572916664,0.19111243229259706
2023,도봉구,창제2동,11320512,5,5152.618,28365.831100672043,0.1816487583851518
2023,도봉구,창제2동,11320512,6,5621.344,28028.501659722224,0.20055813429649133
2023,도봉구,창제2동,11320512,7,6605.313,28619.418623387097,0.23079829422538647
2023,도봉구,창제2동,11320512,8,7936.725,28123.030493682796,0.2822144292658221
2023,도봉구,창제2동,11320512,9,7206.729,28500.873354722222,0.2528599355642531
2023,도봉구,창제2동,11320512,10,5426.312,28378.954949059138,0.19120901420578565
2023,도봉구,창제2동,11320512,11,5322.98,28439.908118611114,0.18716586487551393
2023,도봉구,창제2동,11320512,12,5774.361,29322.674669892473,0.19692477118838406
2024,도봉구,창제2동,11320512,1,6406.331,28749.91127419355,0.22282959202557404
2024,도봉구,창제2동,11320512,2,6228.503,29224.302163074713,0.2131275185030695
2024,도봉구,창제2동,11320512,3,5482.106,28643.089112768816,0.19139367190517623
2024,도봉구,창제2동,11320512,4,5430.487,29598.8453375,0.18346955558836925
2024,도봉구,창제2동,11320512,5,5041.145,30321.140535349463,0.16625842270421373
2024,도봉구,창제2동,11320512,6,5499.681,30024.079331666664,0.18317567507222235
2024,도봉구,창제2동,11320512,7,6547.707,31479.267100403227,0.20800061764831015
2024,도봉구,창제2동,11320512,8,8213.341,32509.467596639784,0.2526445865526552
2024,도봉구,창제2동,11320512,9,8032.457,31965.35176472222,0.25128636340754507
2024,도봉구,창제2동,11320512,10,5818.07,31084.59642016129,0.18716890904288636
2024,도봉구,창제2동,11320512,11,5242.301,31196.917183472222,0.1680390715906158
2024,도봉구,창제2동,11320512,12,5617.159,31798.4428625,0.1766488700182339
2025,도봉구,창제2동,11320512,1,6309.707,32862.425419892475,0.19200369173544238
2025,도봉구,창제2동,11320512,2,6261.31,32555.287549107143,0.19232851162980197
2025,도봉구,창제2동,11320512,3,5463.168,32181.862435080646,0.16975922419097586
